Ku,MMss,PP,D,switching_time,error_to_target
711111.1111111111,900000.0,0.7,3e-08,1.0010010010010011e-09,1.0010010010010429e-12
800000.0,922222.2222222222,0.6555555555555554,3e-08,1.0010010010010011e-09,1.0010010010010429e-12
733333.3333333334,900000.0,0.6333333333333333,3.222222222222222e-08,1.0010010010010011e-09,1.0010010010010429e-12
755555.5555555555,944444.4444444445,0.6777777777777777,3.222222222222222e-08,1.0010010010010011e-09,1.0010010010010429e-12
777777.7777777778,944444.4444444445,0.6555555555555554,3.222222222222222e-08,1.0010010010010011e-09,1.0010010010010429e-12
800000.0,988888.8888888889,0.7,3.222222222222222e-08,1.0010010010010011e-09,1.0010010010010429e-12
711111.1111111111,900000.0,0.611111111111111,3.4444444444444444e-08,1.0010010010010011e-09,1.0010010010010429e-12
755555.5555555555,944444.4444444445,0.6333333333333333,3.4444444444444444e-08,1.0010010010010011e-09,1.0010010010010429e-12
800000.0,988888.8888888889,0.6555555555555554,3.4444444444444444e-08,1.0010010010010011e-09,1.0010010010010429e-12
622222.2222222222,900000.0,0.6555555555555554,3.6666666666666664e-08,1.0010010010010011e-09,1.0010010010010429e-12
644444.4444444445,900000.0,0.6333333333333333,3.6666666666666664e-08,1.0010010010010011e-09,1.0010010010010429e-12
666666.6666666666,900000.0,0.611111111111111,3.6666666666666664e-08,1.0010010010010011e-09,1.0010010010010429e-12
733333.3333333334,944444.4444444445,0.611111111111111,3.6666666666666664e-08,1.0010010010010011e-09,1.0010010010010429e-12
755555.5555555555,922222.2222222222,0.5666666666666667,3.6666666666666664e-08,1.0010010010010011e-09,1.0010010010010429e-12
777777.7777777778,988888.8888888889,0.6333333333333333,3.6666666666666664e-08,1.0010010010010011e-09,1.0010010010010429e-12
800000.0,966666.6666666666,0.5888888888888889,3.6666666666666664e-08,1.0010010010010011e-09,1.0010010010010429e-12
800000.0,1055555.5555555555,0.7,3.6666666666666664e-08,1.0010010010010011e-09,1.0010010010010429e-12
644444.4444444445,944444.4444444445,0.6555555555555554,3.8888888888888884e-08,1.0010010010010011e-09,1.0010010010010429e-12
711111.1111111111,922222.2222222222,0.5666666666666667,3.8888888888888884e-08,1.0010010010010011e-09,1.0010010010010429e-12
733333.3333333334,988888.8888888889,0.6333333333333333,3.8888888888888884e-08,1.0010010010010011e-09,1.0010010010010429e-12
755555.5555555555,1055555.5555555555,0.7,3.8888888888888884e-08,1.0010010010010011e-09,1.0010010010010429e-12
777777.7777777778,944444.4444444445,0.5444444444444444,3.8888888888888884e-08,1.0010010010010011e-09,1.0010010010010429e-12
800000.0,1033333.3333333334,0.6333333333333333,3.8888888888888884e-08,1.0010010010010011e-09,1.0010010010010429e-12
600000.0,966666.6666666666,0.7,4.1111111111111104e-08,1.0010010010010011e-09,1.0010010010010429e-12
666666.6666666666,900000.0,0.5444444444444444,4.1111111111111104e-08,1.0010010010010011e-09,1.0010010010010429e-12
